term,definition
roil,"화나게하다*/ 액체를 휘저어 흐리게 하다
roil, rile, stir"
rosy,"(전망 등이) 장밋빛의, 희망적인 
=optimistic"
row,"열, 줄; 늘어 선 집들/ 노를 젓다"
rusting,"녹이슨 
<rust 녹슬다, 부식하다; 녹이슬게하다, 부식시키다"
sabotage,"고의적으로 방해하다, 파괴하다"
saccharine,맛이 단; 지나치게 감상적인
sagacity,"현명, 총명; 기민"
sage,"현인, 현자
sagacious 현명한, 기민한"
salacious,외설스런
sanctimonious <조심>,"(-) 독실한 척하는, 위선적인 making a show of being morally superior to other people 
*(+) sancrosanct (-)sancrilegious (-)sactimonious"
sanction,"1.허가하다, 승인하다
2.제재하다 ""nuclear sanction"" 핵 제재
*대체로 '승인, 허가'/ (-) 와 함께오면 '제재'로 해석"
scanty,"1. 적은, 불충분한 =scant 
2.(옷, 천) 얇고 비치는"
scarce,"부족한, 드문"
schism,"(교회) 분열, 분파 
factiousness* (당파, 파벌); rift, discord, disagreement"
scintillating,"번뜩이는, 재치가 넘치는 brilliantly and excitingly clever and skillful"
scratching,"<scratch 할퀴다, 할퀴어상처내다; 긁다; 지워없애다"
seditious,"선동적인, 치안 교란의, 반란[폭동]적인.
<sedition (반역, 폭동)"
self-absorption,"자기 몰두[도취], 열중"
self-containing,"<self-contained : 자족적인, 자립하는"
self-effacing,"나서지 않는 retiring(내성적인), modest
<efface = 지우다"
self-interest,"(-) 사리사욕, 사리추구 
=opportunism (기회주의)"
self-perpetuating,"저절로 계속되는, 영속가능한; (관직,지위에)언제까지나 유임하는[할 수 있는]."
self-regard,"자존감, 자존심"
self-righteous,(-) 독선적인
self-serving,"(-) 자기잇속만차리는, 이기적인; 이기주의자"
seminal,중대한[영향력이 큰]
senile,"노쇠한, 노망한; 노인의, 노년의"
sensible,"분별[양식] 있는, 합리적인"
sententious,"무게를 잡는, 훈계조의"
shackle,"족쇄를 채우다, 구속하다 
fetter, manacle, stifle*(억누르다,억압하다)"
sham,"가짜의, 모조의, bogus, false, fake 
모조품, 가품 pretense"
She is by no means an inexperienced teacher. Not by any manner of means.,"seldom, barely, scarcely, rarely, 결코 ~이 아닌, no, nope"
shift,"1.이동하다, 옮기다, 바꾸다 
2. 여러가지로해보다,변통하다,꾸려나가다 -shift with little money
3. 속이다, 핑계대다 
>shiftless 야망이나 목적의식이 없는; 게으른
>shifty 교활한, 속이는 , 약은 <> 순진한"
shortcoming,"결점, 단점 =fault"
showy,"눈에 띄는, 화려한, 야한(gaudy); 허세를 부리는"
shriek,(날카롭게) 소리[비명]를 지르다/ 그런 비명
sifted from,"<sift from ...에서 가려내다
-sift fact from fiction"
skeptical,"회의적인
not easily convinced (쉽게 확신 안하는)
dubious, doubtful"
skew,비스듬하게 하다; 왜곡하다
skirt,"1.가장자리에 있다, 가장자리를 지나다
2. 회피하다"
skittish,"1. 쉽게 흥분하는 
2. 변덕스러운, 신경질적인, 수선떠는 frivolous 
<비교> puckish 장난, 짓궂은"
skullduggerry,"야바위, 속임수 =trick"
sleazy,(행실이) 지저분한[추잡한]
slippery,"(손에서) 잘 빠져나가는, 잡기 어려운; 《비유적》 *파악하기 어려운. =elusive"
slogan,"구호, 슬로건"
slumber,"잠, 수면; 잠을자다"
smuggle,밀수하다 import/export illegally
snub,"모욕하다, 무시하다; 모욕, 무시"
sober,"1. 술취하지않은, 술마시지않은 
2. 절제하는, 절주하는 (人)
3. 온건한, 절도있는; 진지한; 근엄한; 차분한, 냉정한
>sobriety 냉정, 근엄, 진지함"
solemn,"엄숙한, 근엄한"
solemnity,"근엄함, 엄숙함"
solidify,"굳어지다; 굳히다; 확고히하다 
=harden"
somnolent,"거의 잠 든, 조는 
=lethargic (기면증의, 혼수상태의; 무기력한)"
sonorous,"(소리가) 듣기 좋은, 낭랑한"
soothsayer,"예언자, 점쟁이"
sophist,"궤변가, 억지이론을 휘두르는 人"
sophistication,"교양, 세련"
soporific,"잠이 오게하는; 졸리는
<'som' 잠 (insomnia 불면증)"
spacious,"넓다란, 웅대한; (견해 따위가) 넓은, 고매한"
sparing,"조금만 쓰는[아끼는], (~에) 인색한"
speculation,"추측, 억측"
speculative,"추측에 의한 (확실치 않은); 이론적인
conjectural"
spike,"큰못; 큰못으로 박다, 꿰뚫다, 상처내다; 좌절시키다, 방해하다"
spirited,"활기(용기, 열의) 넘치는 
=vigorous"
spontaneity,"자발[즉흥]적임, 자연스러움"
spontaneous,"충동/ 즉흥적으로 움직이는**
<> 의도적인 intentional"
sporadic,"간헐적인
intermittent, fitful"
spur,"박차를 가하다, 독려하다, 자극하다 =foster / 자극제"
staggering,"1. 비틀거리는 2. (너무 엄청나서) 충격적인, 믿기 어려운"
stagnate,"고이다, (고여서) 썩다; 침체되다, 부진해지다"
stale,"1.(음식) 신선하지않은, 만든지 오래된 
2. 신선미가 없는, 진부한, 김빠진"
starky,"순전히, 완전히"
staunch,"확고한, 충실한, 독실한"
steadfast,변함없는
steer,"(보트・자동차 등을) 조종하다[몰다]; (특정 방향으로) 움직이다[나아가다] , 향하다"
stem from,"~에서 생겨나다, 기인하다, 유래하다"
stem,"check, arrest, foil, bar"
stemming,"<stem 막다, 저지하다 
=checking"
stern,"엄중한, 근엄한; 심각한"
stifle,"1. 숨막히게 하다
2. 제한하다, 억제하다"
stigmatize*,낙인찍다; 비난하다; 오명씌우다
stratification,계층화
stray,"wandering, lost, roaming, vagrant"
striking,"눈에 띄는, 두드러진, 현저한 
=pronounced"
stunning,"깜짝놀란, 너무 충격적인, 뜻밖의 ; 매우 아름다운, 멋진"
stymie,방해하다[좌절시키다] =hinder
subjective,주관적인
subtle,"미묘한 not obvious <> obvious
날카로운, 민감한"
subtlety,"미묘함; 교묘함, 절묘함; 예민함"
subversive,"전복시키는, 파괴적인"
subvert,"약화시키다, 전복시키다
sabotage, undermine, weaken"
succeeding,"계속해서 일어나는, 계속되는, 다음의 (following)"
successively,"연속하여, 잇따라 
=sequentially"
succumb,"(압력, 유혹 등에) 굴복하다, 항복하다
capitulate, yield*, surrender, alienate"
sullen,"성질 더러운, 뚱한, 삐진
sulky, surly, sullen"
superficial,"표면적인, 피상적인, 성의없는
slapdash, slipshod, slovenly 
perfunctory 기계적인, 형식적인(하기싫어서 reluctant)"
supersede,"대신하다, 대체하다
replace, supplant"
supplant,"대신하다, 대체하다/ 찬탈하다(-)"
supportive,"지원하는, 도와주는, 힘을 주는"
supposition,추정
suppress,"억압하다, 진압하다; 억제하다, 억누르다"
surge,"급증/ 급증하다
rise, leap"
surmount,극복하다 overcome
sway,"1. (의견) 흔들리다
fluctuate, falter, vacillate, oscillate, veer
2. (남의 맘이나 의견) 흔들다, 기울게 하다
influence, affect, bias, persuade, dominate"
sweeping,"[주로 못마땅함] (지나치게) 전면적인, 광범위한, 포괄적인
=comprehensive"
swift,"신속한, 재빠른"
swill,"꿀꺽꿀꺽마시다, 폭음하다, 단숨에 들이켜다; 
(물로) 헹구다, 씻어내다 rinse"
sympathetic,"동조하는, 동조적인, 호의적인, 공감하는"
synopses,"synopsis <pl>. 요약, 개요, 시놉시스
epitome, abridgment, digest, summary"
tacit,암묵적인 implicit <> explicit
tactful,tactful 재치있는 =skillful
taint,"더럽히다
stain, blemish, stigmatize, defile, sully, tarnish ***tainted 더럽혀진"
take on,"고용하다, 채용하다"
tangent,"접선; [a]접촉하는, 접하는, 접선의"
tangential,"접선의, 주변의, 핵심에서 벗어난, *빗나가는, 중요하지 않은(peripheral)"
tantalize,"감질나게하다(조금만 보여줌, 안달나게)
torment, tease
(상황 ex 이사람의 업적은 위대... however, tantalizing evidence <- 증거가 불충분)
ex. This tantalizing question is raised in a letter to literature professor Rose."
taxing,"부담이 무거운, 성가신, 힘든"
teem,가득하다 *teeming with 가득한
temerity*,"지나친 자신감, 무모함, 뻔뻔함 
=impertinence (*pertinent =relevant , impertinent 1.irrelevant, 2. 나서는, 주제넘는, 뻔뻔한, 건방진 =presumptuous"
temper**,"누그러뜨리다, 완화시키다 =moderate"
temperance*,"자제, 절제, 금주 
*temperance movement : 금주운동"
temperate,"1. (人) 절제하는, 도를 넘지 않는; 온건한, 공손한 
2. 절주의, 금주의
3. 온화한, 따뜻한, 온대의"
tempestuously,"[ad] 폭풍우의; 격렬하게 떠들썩하게,// 
[a] tempestuous (상황이나 기질이) 격정적인, 격렬한, 격동의 turbulent, tumultous, <>serene"
tenacious,"고집센, 완고한"
tendentious*,"편향적인 
discriminatory, partisan"
tender,"1. 제출하다
2. 입찰하다"
tenor,"1.(인생의) 방침, 방향, 행로 
-an even tenor of life (단조로운 나날의 생활)
2. 취지, 대의; 성격, 성질, 상태 
3. (음악) 테너"
tentative*,"1. 잠정적인, 임시적인 provisional 
2. 주저하는"
tenuous*,"1. (연결, 근거 등) 약한, 빈약한
2. 가늘고 섬세한; 가벼운, 묽은, 엷은, 얇은..."
tepid,"1. 미지근한 lukewarm 
2. 열정이 거의 없는"
thoughtful,"생각이깊은, 사려깊은; 인정있는, 동정심있는, 친절한"
thrive,"번성하다, 무성하게 자라다"
thwart*,"막다, 좌절시키다, 반대하다"
tilt,"기울다; 기울게 하다 =list
a.tilted 기운 =listed"
timely,"시기적절한, 때맞춘 
=opportune"
timorous,"겁먹은, 소심한, 자신감이 없는
timid/ timorous/ pusillanimous"
tonic,"힘을 주는, 원기 왕성하게 하는 
refresher"
torpid,"1. 활발하지 못한, 무기력한
2. (동물) 동면중에 있는"
torpor,무기력
torrid,매우 덥고 건조한
tout*,과대선전하다/ 몹시 칭송하다
tractable,"다루기 쉬운, 유순한
<>intractable 고집센"
trammel,"방해, 장애, 속박 <=n.삼중망 <'tri' 3
restraint, constraint, curb, check, impediment, obstacle, barrier, handicap,"
transcend,초월하다
transient*,"일시적인; 덧없는
transitory*, temporary, ephemeral"
transitional,"변천하는; 과도적인, 과도기의"
transparent,"1. 투명한
2. 이해하기 쉬운, 명쾌한* 
translucent"
trendy,최신유행의; 유행의 첨단을 걷는 人
trepidation*,"두려움 fear 
*intrepid a.용감한"
trespass,"1. 침입하다, 침해하다
2. 잘못하다, 죄짓다
ex.Forgive us for our trespasses as we forgive those who trespass against us.~ (주기도문)"
trickster,"사기꾼, 협잡꾼"
trifling,"하찮은, 사소한 
=minimal"
trivial,사소한
trivialize,"평범화하다, 하찮게 보이게 만들다"
truculent,"싸우기 좋아하는, 호전적인, 공격적인 
quarrelsome"
truncate,"길이를 줄이다
(=cut short, abbreviate)"
turbulence,"격동, 격변"
ubiquitous,어디에나 있는 =omnipresent
unalloyed,"다른 것이 섞이지 않은, 순수한"
unassailable,난공불락의
unassuming,"겸손한 modest, humble"
uncanny,"신비로운, 이상한 
mysterious, preternatural"
uncontroversial,논란의여지가없는(적은)
unconventional,"1. 관습에 얽매이지 않는; 틀에박히지 않는 
2. 색다른, 독특한 
original; quirky"
unctuous,"(사람이) 지나치게 아부하는;
(oily both literally and figuratively) greasy (겉으로만 기름 발린 소리하는) =hypocritical, insincere"
undercut,약화시키다 =undermine
underemphasized,Insufficiently emphasized 충분히 강조되지 않은
undergird,"~의 밑을 단단하게 묶다; 뒷받침하다
=support"
undermine,"약화시키다 
=subvert"
undeserved,"가치없는; 정당성없는; 부당한 not warranted, merited, or earned 
=unexpected"
undiminished,"줄어들지[약화되지] 않은
- They continued with undiminished enthusiasm"
undistinguished,특별하지[뛰어나지] 않은
unearth,"파내다, 발굴하다; 찾다, 밝혀내다"
unencumbered,방해없는
unequivocal,"애매하지 않은, 명확한, 분명한 
<>equivocal 모호한, 애매한"
unexceptionable,반대의 여지가 없는 reliable
unexplored,"탐험, 탐사되지 않은; 철저히 검토/논의되지 않은"
unfamiliarity,"잘 모름, 생소, 낯설음 
=ignorance"
unfathomable*,"이해하기 힘든; 측정하기 힘든 =immeasurabe 
<'fathom' 간파하다"
unfazed,동요[당황]하지 않는
unfeeling,"무정한, 냉정한, 무감각한"
unflagging,"쇠하지 않는, 지칠 줄 모르는"
unfortunate,"운이 없는[나쁜], 불운한, 불행한
=infelicitous"
unfounded,"근거없는, 사실무근의
=baseless, tenuous(미약한, 보잘것없는)"
ungainly,"(외모, 행동, 솜씨 등) 서툴고 어색한, 투박한 clumsy, uncouth"
unimaginative,pedestrian
unimpeachable,"의심할여지없는
=blameless"
unique,"유일무이한, 독특한, 특별한"
unkempt,"(외모) 흐트러진, 단정하지 못한 
<'kempt' 머리빗은, 단정한"
unobstrusive,"주제넘지 않은; 조심성 있는, 겸손한, 삼가는"
unorthodox,"정통이 아닌; 이교[이단]의; 인습적이지 않은
-unorthodox medicine (대체의학)"
unostentatious,"거만떨지 않는, 젠체하지 않는, 점잔빼지 않는, 뻐기지 않는; 순박한, 수수한
=modest"
unremarkable,"특별할 것 없는, 평범한"
untenable,(논리) 방어해 줄 수 없는
unwarranted,정당성 없는 =groundless
unwillingly,"본의 아니게, 마지못해, 억지로
=relectantly"
unwitting,"고의가 아닌, 우연적인 unintentional"
upend,"거꾸로 하다[뒤집다]
- The bicycle lay upended in a ditch"
uprightness,"강직함, 강직성; 고결함, 정직함"
utilitarian,"실용적인, 공리주의의
=functional"
vacant,"비어있는, 결원의"
vacillate,"마음이 오락가락하다, 주저하다, 망설이다 oscillate, indecisive"
vacillating,"흔들리는, 진동하는; 동요하는, 망설이는, 우유부단한=wavering"
vacuous,"생각이 없는, 어리석은;"
vainglorious,"허영심 강한, 자만심 강한"
valorize,"to enhance or try to enhance the price, value, or status of by organized and usually governmental action 
=exalt (1. to raise to a higher level* 2. praise)"
vanish,"사라지다, 없어지다"
vapid,"맛없는, 재미없는, 진부한"
variety,"여러 가지, 갖가지, 각양각색"
varnish,"니스칠하다, 광내다"
vary,서로[각기] 다르다; (상황에따라) 달라지다
vehement,(감정을) 격렬히 토로하는; 열정적인
velocity,속도
veneration,"존경; 숭배, 숭상//
<venerate 깊이 존경하다, 우러르다 revere"
venomous,"1. 독이있는 2. 앙심/원한에 찬, 해로운"
veracious,"진실한, 정직한, 정확한"
veracity,"진실함, 정직함 
=truth, reliability, virtuosness"
verisimilitude,"있을법함, 사실같은, 사실성 
a. verisimilar"
versatile,"1. 다재다능한, 다용도의; 
adaptable, felxible, multitalented
2. (마음, 정책) 변하기 쉬운 changeable, inconstant"
vestige,"자취, 흔적, 모습 trace"
vex,"화나게 하다, 괴롭히다, 초조하게 하다"
vicarious,"대리의, 대행의; 간접경험하는 
indirect, secondhand, derivatie"
vicissitude,"(인생, 운명) 변천, 부침, 흥망성쇠, 변하기 쉬움 
a change of circumstances or fortune, typically one that is unwelcome or unpleasant 
=fluctuation, variation, ups and downs"
vigor,"활력, 생기, 정력"
vindication,"1. 옹호, 변호, 지지 
2. 입증; 변명, 해명; 정당성"
vindictive,"복수심이 불타는, 앙심을 품은
vengeful, revengeful"
virtue,"미덕, 덕목; 선, 선행"
virtuoso,"명인, 대가"
visceral,"1. (깊은 사고가 아니라) 강한 감정에 따른, 본능적인
2. 내장의"
visibility,"1. 눈에 보임, 눈에 보이는 상태[정도]; 가시성
2. 탁월함, 눈에 띄는[화려한] 존재."
vitiate,"손상시키다, 망치다 spoil, impair"
vitriolic,"신랄한 acerbic, trenchant, virulent 
n.vitriol 통렬한 비판, 신랄한 언어"
vituperative,"욕설하는, 몹시 비난하는 
v. vitupertate 욕설하다, 몹시비난하다"
vivacity,"생기, 활기, 활발, 쾌활, 활달"
vociferous,"떠들석한, 큰 소리로 외치는, 소란스런"
volatile,"변덕스러운
=capricious"
voluble,"유창한, 말많은, 입심좋은 garrulous, verbose
- Voluble protests from the local press led the industrialists to give up the idea."
voracious,"식용이 왕성한, 게걸스러운"
vulnerable,"연약한, 상처/공격받기 쉬운
- Small fishes are vulnerable to predators."
waggish,"웃기는, 익살스런 jocular, jocose"
wan,"병약한, 안색이 나쁜"
wane,"작아지다, 약해지다, 달이 기울다
<>wax"
waning,"줄어드는, 시들해지는, 약해지는"
warbling,"지저귀는, 노래하는, 재잘거리는"
wary,"조심하는, 주의하는; 안속는, 안믿는"
wearisome,"지루한, 싫증나는, 피곤하게하는, 지치게하는"
weaving,"짜서, 엮어서(직조) 만든 <weave"
well-defined,"(정의가) 명확한, 분명한; 이해하기(알기) 쉬운"
wherewithal,"(무엇을 하는 데 필요한) 돈[수단/기술]
- They lacked the wherewithal to pay for the repairs"
whim,whimsy
whimsical,"1. 별난, 기발한, 엉뚱한
2. 변덕스런"
whimsy,엉뚱한[기발한] 생각[행동/방식]
winning,매력적인 winsome
winnow,"키질하다, 까부르다, 키질하여 (왕겨 등을) 제거하다, 추리다"
withdrawn,사교적이지 않은 not wanting to communicate with other people
workaday,"평범한, 보통의; 별로 흥미로울 것 없는
=quotidian"
zeal,강한 열정
zenith,"정점, 절정

$$$$$$$$$$"
