term,definition,ipa,synonyms,antonyms
arch,""" adj. deliberately or affectedly playful and teasing. """"arch observations about even the most mundane matters"""" """,ärCH,"knowing, playful, mischievous, puckish, roguish, impish, elfin, devilish, naughty, wicked, cheeky, teasing, saucy, flippant, tongue-in-cheek",
bowdlerize,""" v. remove material that is considered improper or offensive from (a text or account), especially with the result that the text becomes weaker or less effective. """"every edition of his letters and diaries has been bowdlerized"""" """,ˈbōdləˌrīz,"expurgate, censor, blue-pencil, cut, edit, redact",
subsume,""" v. include or absorb (something) in something else. """"most of these phenomena can be subsumed under two broad categories""""""",səbˈso͞om,,
travesty,""" n. a false, absurd, or distorted representation of something. """"the absurdly lenient sentence is a travesty of justice""""    v. represent in a false or distorted way. """"Michael has betrayed the family by travestying them in his plays"""" """,ˈtravəstē,"misrepresentation, distortion, perversion, corruption, poor imitation, poor substitute, mockery, parody, caricature, misrepresent, parody, caricature, burlesque, mock, make a mockery of, ridicule, make fun of",
volubility,""" n. the quality of talking fluently, readily, or incessantly; talkativeness. """"her legendary volubility deserted her"""" """,ˌvälyəˈbilədē,"talkativeness, loquaciousness, loquacity, garrulousness, garrulity, verboseness, long-windedness, wordiness, chattiness, effusiveness, profuseness, communicativeness, expansiveness, openness, lack of reserve",
torpor,""" n. a state of physical or mental inactivity; lethargy. """"they veered between apathetic torpor and hysterical fanaticism"""" """"he spent most of the journey in a state of torpor""""""",ˈtôrpər,"lethargy, torpidity, sluggishness, inertia, inertness, inactivity, inaction, slowness, lifelessness, dullness, heaviness, listlessness, languor, languidness, stagnation, laziness, idleness, indolence, shiftlessness, sloth, slothfulness, apathy, accidie, passivity, weariness, tiredness, lassitude, fatigue, sleepiness, drowsiness, enervation, somnolence, narcosis",
solecism,"n. a grammatical mistake in speech or writing.    n. a breach of good manners; a piece of incorrect behavior. synonyms: faux pas, gaffe, breach of etiquette, impropriety, piece of indecorum, social indiscretion, inappropriate behavior, infelicity, slip, error, blunder, miscalculation, lapse",ˈsäləˌsizəm,"(grammatical) mistake, error, blunder",
mulct,""" v. extract money from (someone) by fine or taxation. """"no government dared propose to mulct the taxpayer for such a purpose""""""",məlkt,,
rankle,""" v. (of a comment, event, or fact) cause annoyance or resentment that persists. """"the casual manner of his dismissal still rankles""""""",ˈraNGk(ə)l,,
askance,""" adv. with an attitude or look of suspicion or disapproval. """"the reformers looked askance at the mystical tradition"""" """,əˈskans,"suspiciously, with suspicion, sceptically, with misgivings, cynically, mistrustfully, distrustfully, with distrust, doubtfully, dubiously, with doubt",
palaver,""" n. unnecessarily elaborate or complex procedure. """"there's a lot of palaver involved""""   v. talk unproductively and at length. """"it's too hot for palavering"""" """,pəˈlavər,"chatter, gossip, prattle, prate, babble, blather, blether, blither, maunder, gabble, jabber, tittle-tattle",
babble,""" v. talk rapidly and continuously in a foolish, excited, or incomprehensible way. """"they babbled on about their vacation""""    v. (of a flowing water) make a continuous murmuring sound. """"the shallow river babbled over smooth rocks"""" """"just out of sight a brook babbled gently""""""",ˈbabəl,"prattle, rattle on, gabble, chatter, jabber, twitter, go on, run on, prate, ramble, burble, blather, blether, blither, maunder, drivel, patter, yap, jibber-jabber, burble, murmur, gurgle, purl, tinkle",
scalding,""" adj. very hot; burning. """"she took a sip of scalding tea""""    adj. intense and painful or distressing. """"a scalding tirade of abuse""""""",ˈskôldiNG,"extremely hot, burning, blistering, searing, red-hot",
wrangling,""" n. engagement in a long, complicated dispute or argument. """"weeks of political wrangling""""""",ˈraNGɡliNG,,
ringed,""" adj. marked with or encircled by a ring or rings. """"a long, ringed tail similar to a tabby cat""""   adj. wearing a ring, as an ornament or a token of marriage, engagement, or authority. """"they wore suits with the sleeves pulled back to show ringed fingers""""""",riNGd,,
cramped,""" adj. feeling or causing someone to feel uncomfortably confined or hemmed in by lack of space. """"the staff had to work in cramped conditions""""    adj. suffering from a cramp. """"cramped muscles""""""",kram(p)t,"restricted, confined, constricted",
yank,""" v. pull with a jerk. """"her hair was yanked, and she screamed"""" """"Gilbert yanked open the door to the office""""""",yaNGk,"jerk, pull, tug, wrench, heave, haul, drag, tweak, twitch, pluck, snatch, seize, rip, tear, whisk, jolt, force",
throttle,""" n. a device controlling the flow of fuel or power to an engine. """"the engines were at full throttle""""   v. attack or kill (someone) by choking or strangling them. """"she was sorely tempted to throttle him"""" """,ˈTHrädl,"choke, strangle, strangulate, garrotte, asphyxiate, smother, suffocate, stifle",
stranded,""" adj. (of a boat, sailor, or sea creature) left aground on a shore. """"a stranded whale""""   adj. left without the means to move from somewhere. """"she offers a lift to a stranded commuter""""""",ˈstrandəd,,
beckon,""" v. make a gesture with the hand, arm, or head to encourage someone to come nearer or follow. """"the guard beckoned to Benny""""   v. seem to be appealing or inviting. """"the going is tough and soft options beckon"""" """"the moorland and miles of coastal path beckon many walkers""""""",ˈbekən,"gesture, signal, wave, gesticulate, make a gesture, motion, nod, call, entice, invite, tempt, coax, lure, charm, attract, draw, pull (in), bring in, call, allure, interest, fascinate, engage, enchant, captivate, persuade, induce, catch the eye of",
encroach,""" v. intrude on (a person's territory or a thing considered to be a right). """"rather than encroach on his privacy she might have kept to her room"""" """,inˈkrōCH,"intrude, trespass, impinge, butt in, barge in, cut in, obtrude, impose oneself",
reinstate,""" v. restore (someone or something) to their former position or condition. """"the union is fighting to reinstate the fired journalists"""" """"he was reinstated as President on 21 August""""""",ˌrēinˈstāt,"restore, return to a former position, return to power, put back, replace, bring back, reinstitute, reinstall, rehabilitate, re-establish",
snarl,""" v. (of an animal such as a dog) make an aggressive growl with bared teeth. """"the dog snarled at the boy"""" """"a pack of snarling wolves""""   v. (of a person) say something in an angry, bad-tempered voice. """"I used to snarl at anyone I disliked""""    v. entangle or impede (something). """"the bus got snarled up in the downtown traffic"""" """"the trailing lead got snarled up in a bramble bush"""" """,snärl,"growl, show its teeth, sayspeak brusquely, sayspeak angrily, bark, snap, growl, fling, hurl, tangle, entangle, entwine, enmesh, ravel, knot, twist, intertwine, jumble, muddle, foul",untangle
underappreciate,""" v. fail to value (someone or something) highly enough. """"one of the jazz world's most underappreciated artists""""""",ˌəndərəˈprēSHiāt,,
impetus,""" n. the force or energy with which a body moves. """"hit the booster coil before the flywheel loses all its impetus""""    n. the force that makes something happen or happen more quickly. """"the crisis of the 1860s provided the original impetus for the settlements"""" """,ˈimpədəs,"momentum, propulsion, impulsion, impelling force, motive force, driving force, drive, thrust, continuing motion, motivation, stimulus, incitement, incentive, inducement, inspiration, encouragement, boost",
inculcate,""" v. instill (an attitude, idea, or habit) by persistent instruction. """"the failures of the churches to inculcate a sense of moral responsibility""""    v. teach (someone) an attitude, idea, or habit by persistent instruction. """"they will try to inculcate you with a respect for culture""""""",ˈinkəlˌkāt,"instil, implant, fix, ingrain, infuse, impress, imprint, introduce",
fervor,""" n. intense and passionate feeling. """"he talked with all the fervor of a new convert"""" """,ˈfərvər,"passion, ardor, intensity, zeal, vehemence, vehemency, emotion, warmth, sincerity, earnestness, avidness, avidity, eagerness, keenness, enthusiasm, excitement, animation, vigor, energy, fire, fieriness, heat, spirit, zest, appetite, hunger, urgency",
lifeblood,""" n. the indispensable factor or influence that gives something its strength and vitality. """"my family was the lifeblood of the church"""" """,ˈlīfˌbləd,"life force, life, essential partconstituent, animating spirit, moving force, driving force, dynamic force, vital spark, vital fluid, inspiration, stimulus, center, animus, essence, crux, heart, soul, core, kernel, marrow, pith",
cling,""" v. (of a person or animal) hold on tightly to. """"she clung to Joe's arm""""    v. adhere or stick firmly or closely to; be hard to part or remove from. """"the smell of smoke clung to their clothes"""" """"shorter rice grains have a tendency to cling together""""   v. remain persistently or stubbornly faithful to. """"she clung resolutely to her convictions"""" """,kliNG,"hold onto, clutch, grip, grasp, clasp, attach oneself to, hang onto, hold tightly, clench, stick, adhere, hold, cohere, bond, bind, adhere to, hold to, stick to, stand by, abide by, remain attached to, remain devoted to, cherish, be loyal to, be faithful to, remain true to, have faith in, swear by",
redact,""" v. edit (text) for publication. """"a confidential memo which has been redacted from 25 pages to just one paragraph""""""",rəˈdakt,,
fictitious,""" adj. not real or true, being imaginary or having been fabricated. """"she pleaded guilty to stealing thousands in taxpayer dollars by having a fictitious employee on her payroll""""    adj. relating to or denoting the imaginary characters and events found in fiction. """"the people in this novel are fictitious; the background of public events is not"""" """,fikˈtiSHəs,"false, fake, counterfeit, fabricated, sham, fictional, imaginary, imagined, invented, made up, make-believe, unreal, nonexistent, mythical, storybook, apocryphal",
overhaul,""" v. take apart (a piece of machinery or equipment) in order to examine it and repair it if necessary. """"a company that overhauls and repairs aircraft engines"""" """,ˌōvərˈhôl,"service, maintain, repair, mend, fix up, patch up, rebuild, renovate, revamp, recondition, remodel, refit, refurbish, modernize",
withhold,""" v. refuse to give (something that is due to or is desired by another). """"the name of the dead man is being withheld""""    v. suppress or hold back (an emotion or reaction). """"Elizabeth could no longer withhold her tears""""""",wiT͟Hˈhōld,"refuse to give, hold back, keep back, stop, suppress, repress, hold back, keep back, fight back, choke back, swallow, control, keep in check, check, restrain, contain, curb",
persecution,""" n. hostility and ill-treatment, especially because of race or political or religious beliefs. """"her family fled religious persecution""""    n. persistent annoyance or harassment. """"his persecution at the hands of other students""""""",ˌpərsəˈkyo͞oSH(ə)n,"oppression, victimization, maltreatment, ill treatment, mistreatment, abuse, ill usage, discrimination, tyranny, tyrannization, punishment, torment, torture",
emblematic,""" adj. serving as a symbol of a particular quality or concept; symbolic. """"this case is emblematic of a larger problem"""" """,ˌembləˈmadik,"symbolic, representative, demonstrative, suggestive, symptomatic, indicative, typical, characteristic",
fault,""" n. an unattractive or unsatisfactory feature, especially in a piece of work or in a person's character. """"my worst fault is impatience""""   n. responsibility for an accident or misfortune. """"it was his fault she had died""""    v. criticize for inadequacy or mistakes. """"her colleagues and superiors could not fault her dedication to the job"""" """,fôlt,"responsibility, liability, culpability, blameworthiness, guilt, find fault with, find lacking",
sellout,"n. the selling of an entire stock of something, especially tickets for an entertainment or sports event.",ˈselˌout,,
horrendous,""" adj. extremely unpleasant, horrifying, or terrible. """"she suffered horrendous injuries"""" """,həˈrendəs,"horrible, dreadful, horrifying, horrific, frightful, fearful, awful, terrible, shocking, appalling, hideous, grim, grisly, ghastly, harrowing, gruesome, heinous, vile, nightmarish, macabre, unspeakable, hair-raising, spine-chilling",
scrounge,""" v. seek to obtain (something, typically food or money) at the expense or through the generosity of others or by stealth. """"he had managed to scrounge a free meal"""" """,skrounj,"beg, borrow",
impish,""" adj. inclined to do slightly naughty things for fun; mischievous. """"he had an impish look about him"""" """,ˈimpiSH,"mischievous, naughty, wicked, devilish, rascally, roguish, prankish, playful, waggish",
distill,""" v. purify (a liquid) by vaporizing it, then condensing it by cooling the vapor, and collecting the resulting liquid. """"they managed to distill a small quantity of water""""    v. extract the essential meaning or most important aspects of. """"my travel notes were distilled into a book""""""",dəˈstil,"purify, refine, filter, treat, process",
levitate,""" v. rise or cause to rise and hover in the air, especially by means of supernatural or magical power. """"he was focused on levitating the backpack"""" """"the casket suddenly levitated a meter above the ground""""""",ˈlevəˌtāt,"float, rise into the air, rise, hover, be suspended, glide, waft, drift, hang, defy gravity, fly, soar up",
bigoted,""" adj. having or revealing an obstinate belief in the superiority of one's own opinions and a prejudiced intolerance of the opinions of others. """"a bigoted group of reactionaries"""" """,ˈbiɡədəd,"prejudiced, biased, partial, one-sided, sectarian, discriminatory",
contention,""" n. heated disagreement. """"the captured territory was one of the main areas of contention between the two countries""""    n. an assertion, especially one maintained in argument. """"statistics bear out his contention that many runners are undertrained for this event"""" """,kənˈten(t)SH(ə)n,"disagreement, dispute, disputation, argument, variance, argument, claim, plea, submission, allegation",
preconception,"n. a preconceived idea or prejudice. synonyms: preconceived idea/notion, presupposition, assumption, presumption, prejudgment, expectation, prepossession",ˌprēkənˈsepSH(ə)n,,
arboreal,""" adj. (chiefly of animals) living in trees. """"arboreal rodents""""""",ärˈbôrēəl,,
sterilize,""" v. make (something) free from bacteria or other living microorganisms. """"babies' feeding equipment can be cleaned and sterilized""""    v. deprive (a person or animal) of the ability to produce offspring, typically by removing or blocking the sex organs. """,ˈsterəˌlīz,"disinfect, purify, fumigate, decontaminate, sanitize, vasectomize, hysterectomize",
cantankerous,""" adj. bad-tempered, argumentative, and uncooperative. """"a crusty, cantankerous old man"""" """,kanˈtaNGk(ə)rəs,"bad-tempered, irascible, irritable, grumpy, grouchy, crotchety, tetchy, testy, crusty, curmudgeonly, ill-tempered, ill-natured, ill-humored, peevish, cross, as cross as two sticks, fractious, disagreeable, pettish, crabbed, crabby, waspish, prickly, peppery, touchy, scratchy, splenetic, shrewish, short-tempered, hot-tempered, quick-tempered, dyspeptic, choleric, bilious, liverish, cross-grained",
allegory,""" n. a story, poem, or picture that can be interpreted to reveal a hidden meaning, typically a moral or political one. """"Pilgrim's Progress is an allegory of the spiritual journey"""" """,ˈaləˌɡôrē,"parable, analogy, metaphor, symbol, emblem",
invigorate,""" v. give strength or energy to. """"the shower had invigorated her"""" """,inˈviɡəˌrāt,"revitalize, energize, refresh, revive, vivify, brace, rejuvenate, enliven, liven up, perk up, wake up, animate, galvanize, electrify, stimulate, motivate, rouse, exhilarate, excite",
ferment,""" v. (of a substance) undergo fermentation. """"the drink had fermented, turning some of the juice into alcohol""""    v. incite or stir up (trouble or disorder). """"the politicians and warlords who are fermenting this chaos"""" """,fərˈment,"undergo fermentation, brew, cause, bring on, bring about, give rise to, lead to, result in, generate, engender, spawn, instigate, prompt, provoke, incite, excite, arouse, stir up, whip up, foment, kindle, trigger off, spark off, touch off",
regale,""" v. entertain or amuse (someone) with talk. """"he regaled her with a colorful account of that afternoon's meeting""""    v. lavishly supply (someone) with food or drink. """"he was regaled with excellent home cooking"""" """"the carol-singers were regaled with refreshment at most houses""""""",rəˈɡāl,"entertain, amuse, divert, delight, fascinate, captivate, beguile; treat to, supply lavishly, entertain lavishly/sumptuously, ply, wine and dine, fete, feast, cater for, serve, feed",
predispose,""" v. make someone liable or inclined to a specified attitude, action, or condition. """"lack of exercise may predispose an individual to high blood pressure"""" """,ˌprēdəˈspōz,"make susceptible, make liable, make prone, lay open, make vulnerable, put at risk of, leave open, make subject",
unreservedly,""" adv. without reservations; completely. """"I unreservedly recommend the book""""   adv. frankly and openly. """"we like to be able to talk unreservedly about ourselves""""""",ˌənrəˈzərvidlē,,
prominence,""" n. the state of being important or famous. """"she came to prominence as an artist in the 1960s""""    n. the fact or condition of standing out from something by physically projecting or being particularly noticeable. """"radiographs showed enlargement of the right heart with prominence of the pulmonary outflow tract""""""",ˈprämənəns,"fame, celebrity, eminence, preeminence, importance, distinction, greatness, note, notability, prestige, stature, standing, position, rank, renown, repute, illustriousness, acclaim, influence, account, consequence, visibility",
autocratic,""" adj. relating to a ruler who has absolute power. """"the constitutional reforms threatened his autocratic power""""   adj. taking no account of other people's wishes or opinions; domineering. """"an autocratic management style"""" """,ˌôdəˈkradik,"despotic, tyrannical, oppressive, repressive antonyms: democratic, liberal","democratic, liberal"
antipodal,adj. relating to or situated on the opposite side of the earth.   adj. diametrically opposed to.,anˈtipədl,,
nuisance,""" n. a person, thing, or circumstance causing inconvenience or annoyance. """"I hope you're not going to make a nuisance of yourself"""" """,ˈn(y)o͞osəns,"source of annoyance/irritation, annoyance, inconvenience, bore, bother, irritant, problem, difficulty, trouble, trial, burden",
scourge,""" n. a person or thing that causes great trouble or suffering. """"the scourge of mass unemployment""""    v. cause great suffering to. """"political methods used to scourge and oppress workers"""" """,skərj,"affliction, bane, curse, plague, menace, evil, misfortune, burden, cross to bear, thorn in one's flesh/side, bitter pill, trial, nuisance, pest, afflict, plague, torment, torture, curse, cause suffering to, oppress, burden, bedevil, beset",
actuality,""" n. actual existence, typically as contrasted with what was intended, expected, or believed. """"the building looked as impressive in actuality as it did in magazines""""    n. existing conditions or facts. """"the grim actualities of prison life""""""",ˌak(t)SHəˈwalədē,"reality, fact, truth, the real world, real life, existence, living",
comely,""" adj. (typically of a woman) pleasant to look at; attractive. """"the comely Italian actress Valeria Golino""""    adj. agreeable; suitable. """"a comely specimen""""""",ˈkəmlē,"attractive, good-looking, nice-looking, beautiful, pretty, handsome, lovely, stunning, striking, arresting, gorgeous, prepossessing, winning, fetching, captivating, bewitching, beguiling, engaging, charming, charismatic, enchanting, appealing, delightful, irresistible",
exquisite,""" adj. extremely beautiful and, typically, delicate. """"exquisite, jewellike portraits"""" """,ˈekˌskwizət,"beautiful, lovely, elegant, graceful",
encumbrance,""" n. a burden or impediment. """"the horse raised its hind leg as if to rid itself of an encumbrance"""" """,inˈkəmb(ə)rəns,"hindrance, obstruction, obstacle, impediment, restraint, constraint, handicap, inconvenience, nuisance, disadvantage, drawback",
quibble,""" n. a slight objection or criticism about a trivial matter. """"the only quibble about this book is the price""""    v. argue or raise objections about a trivial matter. """"they are always quibbling about the amount they are prepared to pay"""" """,ˈkwibəl,"minor criticism, trivial objection, trivial complaint, adverse comment, protest, query, argument, exception, moan, grumble, grouse, cavil, find fault with, raise trivial objections to, complain about, object to, cavil at, carp about",
exult,""" v. feel or show triumphant elation or jubilation. """"exulting in her escape, Lisa closed the door behind her"""" """,iɡˈzəlt,"rejoice, be joyful, be happy, be pleased, be glad, be delighted, be elated, be ecstatic, be euphoric, be overjoyed, be as pleased as Punch, be cock-a-hoop, be jubilant, be rapturous, be in raptures, be transported, be beside oneself with joy, be delirious, be thrilled, jump for joy, be on cloud nine, be walking/treading on air, be in seventh heaven, glory, triumph, be triumphant",
paramount,""" adj. more important than anything else; supreme. """"the interests of the child are of paramount importance"""" """,ˈperəˌmount,"most important, of greatest importance, of prime importance, of supreme importance",
tactless,""" adj. having or showing a lack of adroitness and sensitivity in dealing with others or with difficult issues. """"a tactless remark"""" """,ˈtak(t)ləs,"insensitive, inconsiderate, thoughtless, unthinking, indelicate, undiplomatic, impolitic, indiscreet, unsubtle, clumsy, heavy-handed, graceless, awkward, unpolished, inept, bungling, maladroit, gauche, undiscerning, unsophisticated",
mark,"""v. write a word or symbol on (an object), typically for identification. """"she marked all her possessions with her name""""     v. show the position of. """"the top of the pass marks the border between Alaska and the Yukon""""   v. notice or pay careful attention to. """"he'll leave you, you mark my words !"""" """"it'll cause trouble, you mark my words!""""""",märk,"put one's name on, name, initial, put one's seal on, label, tag, hallmark, watermark, brand, stamp, earmark, take heed of, pay heed to, heed, listen to, take note/notice of, pay attention to, attend to, note, mind, bear in mind, give (a) thought to, take into consideration, take to heart; archaicregard",
coyness,""" n. (especially in a woman) the quality of feigning shyness or modesty in an attempt to seem alluring.    n. the quality of being reluctant to give details about something regarded as sensitive; reticence. """"the company's coyness about their spring offering""""""",ˈkoinəs,"archness, simpering, coquettishness, flirtatiousness, kittenishness, skittishness",
acquiescent,""" adj. ready to accept something without protest, or to do what someone else wants. """"the unions were acquiescent and there was no overt conflict"""" """,ˌakwēˈes(ə)nt,"compliant, complying, consenting, cooperative, willing, obliging, agreeable, amenable, tractable, persuadable, easily persuaded, pliant, flexible, easy, unprotesting, resigned",
abolition,""" n. the action or an act of abolishing a system, practice, or institution. """"the abolition of child labor"""" """,ˌabəˈliSH(ə)n,"scrapping, ending, stopping, doing away with, termination, eradication, elimination, extermination, destruction, annihilation, obliteration, quashing, extirpation",
abominable,""" adj. causing moral revulsion. """"the uprising was suppressed with abominable cruelty""""    adj. very bad or unpleasant. """"a cup of abominable tea""""""",əˈbäm(ə)nəb(ə)l,"loathsome, detestable, hateful, odious, obnoxious, despicable, contemptible, damnable, cursed, accursed, diabolical",
dynastic,""" adj. relating to a succession of people from the same family who play a prominent role in business, politics, or another field. """"the plot concerns the dynastic struggles of two brothers""""""",dīˈnastik,,
paroxysm,""" n. a sudden attack or violent expression of a particular emotion or activity. """"a paroxysm of weeping"""" """,ˈperəkˌsizəm,"spasm, attack, fit, burst, bout, convulsion, seizure, outburst, outbreak, eruption, explosion, flare-up, access",
backhanded,""" adj. made with the back of the hand facing in the direction of movement. """"a backhanded pass""""   adj. indirect; ambiguous or insincere. """"coming from me, teasing is a backhanded compliment"""" """,bakˈhandəd,"indirect, ambiguous, oblique, equivocal",
revolt,""" v. rise in rebellion. """"the insurgents revolted and had to be suppressed""""    v. cause to feel disgust. """"he was revolted by the stench that greeted him"""" """,rəˈvōlt,"rebel, rise up, rise, take to the streets, take up arms, riot, mutiny, take part in an uprising, show resistance, disgust, sicken, nauseate, make someone sick, make someone feel sick, make someone's gorge rise, turn someone's stomach, upset, be repugnant to, repel, repulse, be repulsive to, make someone's flesh crawl, make someone shudder, put off, offend, be offensive to, cause offense to, shock, horrify",
objective,""" adj. (of a person or their judgment) not influenced by personal feelings or opinions in considering and representing facts. """"historians try to be objective and impartial"""" """"an interviewer must try to be objective""""   n. a thing aimed at or sought; a goal. """"the system has achieved its objective"""" """,əbˈjektiv,"impartial, unbiased, unprejudiced, nonpartisan, disinterested, nondiscriminatory, neutral, uninvolved, even-handed, equitable, fair, fair-minded, just, open-minded, dispassionate, detached, impersonal, unemotional, clinical, aim, intention, purpose, target, goal, intent, object, end, end in view, grail, holy grail",
conspire,""" v. make secret plans jointly to commit an unlawful or harmful act. """"they conspired against him""""    v. (of events or circumstances) seem to be working together to bring about a particular result, typically to someone's detriment. """"everything conspires to exacerbate the situation"""" """,kənˈspī(ə)r,"plot, hatch a plot, form a conspiracy, scheme, plan, lay plans, intrigue, collude, connive, collaborate, consort, machinate, maneuver, be/work hand in glove, act together, work together, combine, join, unite, ally, join forces, cooperate",
cohesion,""" n. the action or fact of forming a united whole. """"the work at present lacks cohesion"""" """"rewarding individuals breaks the cohesion in the group""""""",kōˈhēZHən,"unity, togetherness, solidarity, bond, sticking together, continuity, coherence, connection, linkage, interrelatedness",
negation,""" n. the contradiction or denial of something. """"there should be confirmation—or negation—of the findings""""    n. the absence or opposite of something actual or positive. """"evil is not merely the negation of goodness"""" """,nəˈɡāSH(ə)n,"denial, contradiction, repudiation, disproving, refutation, refuting, rebuttal, countering, disclaiming, opposite, reverse, antithesis, contrary, inverse, converse",
folklore,"n. the traditional beliefs, customs, and stories of a community, passed through the generations by word of mouth. synonyms: mythology, lore, oral history, tradition, folk tradition",ˈfōklôr,,
jurisdiction,""" n. the official power to make legal decisions and judgments. """"federal courts had no jurisdiction over the case"""" """,ˌjo͝orəsˈdikSH(ə)n,"authority, control, power, dominion, rule, administration, command, sway, leadership, sovereignty, ascendancy, hegemony, mastery",
haggard,""" adj. looking exhausted and unwell, especially from fatigue, worry, or suffering. """"I trailed on behind, haggard and disheveled"""" """,ˈhaɡərd,"careworn, tired, drained, drawn, raddled",
backlit,""" v. illuminate from behind. """"a backlit LCD screen""""""",ˈbakˌlīt,,
byword,""" n. a person or thing cited as a notorious and outstanding example or embodiment of something. """"his name became a byword for luxury""""    n. a word or expression summarizing a thing's characteristics or a person's principles. """"“Small is beautiful” may be the byword for most couturiers"""" """,ˈbīˌwərd,"perfect example of, classic case of, model of, exemplar of, embodiment of, incarnation of, personification of, epitome of, typification of, slogan, motto, maxim, axiom, dictum, mantra, catchword, watchword, formula, cry, battle cry, rallying cry",
erratically,""" adv. in a manner that is not even or regular in pattern or movement; unpredictably. """"he had been seen driving erratically minutes before the accident""""""",əˈradəklē,,
premonition,""" n. a strong feeling that something is about to happen, especially something unpleasant. """"he had a premonition of imminent disaster"""" """,ˌprēməˈniSH(ə)n,"foreboding, presentiment, intuition, feeling, hunch, suspicion, sneaking suspicion, feeling in one's bones, funny feeling, vague feeling, inkling, idea, sixth sense",
unexpurgated,adj. (of a text) complete and containing all the original material; uncensored.,ˌənˈekspərˌɡādəd,,
well-to-do,""" adj. wealthy; prosperous. """"a well-to-do family"""" """,ˌweltəˈdo͞o,"wealthy, rich, affluent, moneyed, cash rich, with deep pockets, well off, prosperous, opulent, substantial, comfortable, propertied",
commission,""" n. an instruction, command, or duty given to a person or group of people. """"he received a commission to act as an informer""""    n. a group of people officially charged with a particular function. """"the United Nations High Commission for Refugees"""" """"their plan requires approval by an independent commission""""   v. give an order for or authorize the production of (something such as a building, piece of equipment, or work of art). """"the portrait was commissioned by his widow in 1792""""    v. bring (something newly produced, such as a factory or machine) into working condition. """"we had a few hiccups getting the heating equipment commissioned""""""",kəˈmiSHən,"task, employment, job, work, piece of work, project, mission, assignment, undertaking, exercise, enterprise, endeavor, solution, committee, board, board of commissioners, council, panel, directorate, advisory body, advisorate, convocation, delegation, order, put in an order for, place an order for, contract for, pay for",
indicative,""" adj. serving as a sign or indication of something. """"having recurrent dreams is not necessarily indicative of any psychological problem"""" """"the President's visit was indicative of improving diplomatic relations""""""",inˈdikədiv,"symptomatic, expressive, suggestive, evocative, typical, characteristic, representative, symbolic, emblematic",
unglamorous,""" adj. lacking glamour and excitement. """"an unglamorous family car""""""",ˌənˈɡlam(ə)rəs,,
redouble,""" v. make or become much greater, more intense, or more numerous. """"we will redouble our efforts to reform agricultural policy""""""",rēˈdəb(ə)l,,
insofar,""" adv. to the extent that. """"the tool is able to cater to almost any need insofar as graphs are concerned""""""",ˌinsōˈfär,,
whisk,"""v. take or move (someone or something) in a particular direction suddenly and quickly. """"his jacket was whisked away for dry cleaning""""    v. beat or stir (a substance, especially cream or eggs) with a light, rapid movement. """"whisk the yolks with half the sugar""""""",(h)wisk,"speed, hurry, rush, catapult, whip, beat, stir/mix vigorously",
favor,""" n. approval, support, or liking for someone or something. """"the legislation is viewed with favor"""" """"she looked on him with favor""""   n. an act of kindness beyond what is due or usual. """"I've come to ask you a favor""""    v. feel or show approval or preference for. """"slashing public spending is a policy that few politicians favor""""    v. (often used in polite requests) give someone (something that they want). """"please favor me with an answer"""" """"he favored Lucy with a smile""""""",ˈfāvər,"approval, approbation, commendation, esteem, goodwill, kindness, benevolence, friendliness, good turn, service, kind act, good deed, act of kindness, kindness, courtesy, indulgence, advocate, recommend, advise, subscribe to, approve of, look on with favor, be in favor of, support, back, champion, oblige, accommodate, gratify, satisfy, humor, indulge, pander to, put oneself out for; honor",
vanity,""" n. excessive pride in or admiration of one's own appearance or achievements. """"it flattered his vanity to think I was in love with him""""    n. the quality of being worthless or futile. """"the vanity of human wishes"""" """"the vanity of all desires of the will""""""",ˈvanədē,"conceit, conceitedness, self-conceit, narcissism, self-love, self-admiration, self-regard, self-absorption, self-obsession, self-centredness, egotism, egoism, egocentrism, egomania, futility, uselessness, pointlessness, worthlessness, purposelessness, idleness, fruitlessness, profitlessness",
atavistic,""" adj. relating to or characterized by reversion to something ancient or ancestral. """"atavistic fears and instincts""""""",ˌadəˈvistik,,
creed,""" n. a system of Christian or other religious belief; a faith. """"people of many creeds and cultures""""    n. a set of beliefs or aims which guide someone's actions. """"liberalism was more than a political creed""""""",krēd,"faith, religion, religious belief(s), religious persuasion, religious conviction, religious group, faith community, church",
denigrate,""" v. criticize unfairly; disparage. """"there is a tendency to denigrate the poor"""" """,ˈdenəˌɡrāt,"disparage, belittle, diminish, deprecate, cast aspersions on, decry, criticize unfairly, attack, speak ill of, speak badly of, blacken the character of, blacken the name of, give someone a bad name, sully the reputation of, spread lies about, defame, slander, libel, calumniate, besmirch, run down, abuse, insult, slight, revile, malign, vilify",
intact,""" adj. not damaged or impaired in any way; complete. """"the church was almost in ruins but its tower remained intact"""" """,inˈtakt,"whole, entire, complete, unbroken, undamaged, unharmed, uninjured, unimpaired, unflawed, faultless, flawless, unscathed, untouched, unspoiled, unmutilated, unsevered, unblemished, unmarred, unmarked, perfect, pristine, inviolate, unviolated, undefiled, unsullied, in one piece",
consignment,""" n. a batch of goods destined for or delivered to someone. """"a consignment of beef"""" """,kənˈsīnmənt,"delivery, shipment, load, containerload, shipload, boatload, lorryload, truckload, cargo",
